"FindingId","Repository","FilePath","SecretCategory","Tracked","Severity","RecommendedTreatment"
"RC0-SEC-002","backend","C:\dev\bridge-api\bridge-api\.env","Database URL","False","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-001","backend","C:\dev\bridge-api\bridge-api\.env","Environment file","False","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-006","backend","C:\dev\bridge-api\bridge-api\.env","Generic API key assignment","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-005","backend","C:\dev\bridge-api\bridge-api\.env","Google Maps key","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-003","backend","C:\dev\bridge-api\bridge-api\.env","Password","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-004","backend","C:\dev\bridge-api\bridge-api\.env","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-008","backend","C:\dev\bridge-api\bridge-api\.env.example","Database URL","True","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-007","backend","C:\dev\bridge-api\bridge-api\.env.example","Environment file","True","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-012","backend","C:\dev\bridge-api\bridge-api\.env.example","Generic API key assignment","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-011","backend","C:\dev\bridge-api\bridge-api\.env.example","Google Maps key","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-009","backend","C:\dev\bridge-api\bridge-api\.env.example","Password","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-010","backend","C:\dev\bridge-api\bridge-api\.env.example","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-014","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Database URL","False","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-013","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Environment file","False","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-018","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Generic API key assignment","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-017","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Google Maps key","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-015","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Password","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-016","backend","C:\dev\bridge-api\bridge-api\.env.production.example","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-019","backend","C:\dev\bridge-api\bridge-api\DATABASE_MIGRATION.md","Database URL","True","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-027","backend","C:\dev\bridge-api\bridge-api\db\repositories.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-020","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Database URL","True","Critical","Do not commit; verify credential storage and rotate if exposure is suspected."
"RC0-SEC-025","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Expo/EAS reference","True","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-024","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Generic API key assignment","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-023","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Google Maps key","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-021","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Password","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-022","backend","C:\dev\bridge-api\bridge-api\DEPLOYMENT.md","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-026","backend","C:\dev\bridge-api\bridge-api\DURABLE_PHOTO_STORAGE.md","Generic API key assignment","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-028","backend","C:\dev\bridge-api\bridge-api\routes\driverSessions.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-029","backend","C:\dev\bridge-api\bridge-api\routes\places.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-030","backend","C:\dev\bridge-api\bridge-api\routes\routeManifests.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-031","backend","C:\dev\bridge-api\bridge-api\routes\routing.js","Password","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-032","backend","C:\dev\bridge-api\bridge-api\routes\routing.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-033","backend","C:\dev\bridge-api\bridge-api\scripts\create-admin-user.cjs","Password","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-034","backend","C:\dev\bridge-api\bridge-api\services\adminAuth.js","Password","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-035","backend","C:\dev\bridge-api\bridge-api\services\adminAuth.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-036","backend","C:\dev\bridge-api\bridge-api\services\driverAuth.js","Token","True","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-037","mobile","C:\dev\tsr-mobile\.env","Environment file","False","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-041","mobile","C:\dev\tsr-mobile\.env","Expo/EAS reference","False","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-040","mobile","C:\dev\tsr-mobile\.env","Generic API key assignment","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-039","mobile","C:\dev\tsr-mobile\.env","Google Maps key","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-038","mobile","C:\dev\tsr-mobile\.env","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-042","mobile","C:\dev\tsr-mobile\.env.example","Environment file","False","High","Keep untracked; preserve variable names only in docs; verify values live in environment provider."
"RC0-SEC-045","mobile","C:\dev\tsr-mobile\.env.example","Expo/EAS reference","False","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-044","mobile","C:\dev\tsr-mobile\.env.example","Generic API key assignment","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-043","mobile","C:\dev\tsr-mobile\.env.example","Google Maps key","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-046","mobile","C:\dev\tsr-mobile\PROJECT_STATUS.md","Expo/EAS reference","False","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-047","mobile","C:\dev\tsr-mobile\scripts\verify-production-config.cjs","Expo/EAS reference","False","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-048","mobile","C:\dev\tsr-mobile\src\app\components\VehicleLayer.jsx","Expo/EAS reference","False","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-051","mobile","C:\dev\tsr-mobile\src\app\screens\MapScreen.js","Expo/EAS reference","False","Medium","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-049","mobile","C:\dev\tsr-mobile\src\app\screens\MapScreen.js","Password","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-050","mobile","C:\dev\tsr-mobile\src\app\screens\MapScreen.js","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
"RC0-SEC-052","mobile","C:\dev\tsr-mobile\src\app\services\driverSession.js","Token","False","High","Review before consolidation; keep values in provider secrets or local env only."
